Country,Year,GDP_USD,GDP_Growth,Unemployment,Internet_Usage,CO2_per_Capita
South Africa,2018,368288000000,0.8,27.1,56.2,7.5
South Africa,2019,351432000000,0.2,28.7,62.4,7.4
South Africa,2020,301923000000,-6.4,29.2,64.7,6.9
South Africa,2021,419015000000,4.9,33.6,68.2,7.2
South Africa,2022,405270000000,1.9,32.9,72.0,7.1
United States,2018,20544300000000,2.9,3.9,87.3,15.2
United States,2019,21433200000000,2.3,3.7,89.5,14.7
United States,2020,20936600000000,-3.4,8.1,90.9,13.5
United States,2021,23150000000000,5.7,5.4,92.0,14.9
United States,2022,25462700000000,2.1,3.6,93.1,14.5
China,2018,13894800000000,6.7,3.8,59.5,7.4
China,2019,14279900000000,6.0,3.6,61.2,7.2
China,2020,14722700000000,2.2,4.2,65.2,7.0
China,2021,17734000000000,8.1,3.9,70.4,7.6
China,2022,17963100000000,3.0,5.5,73.0,7.7
India,2018,2701110000000,6.5,5.3,34.5,1.9
India,2019,2875140000000,4.0,5.4,41.0,1.8
India,2020,2667680000000,-7.3,7.1,43.0,1.7
India,2021,3173390000000,8.7,6.0,47.0,1.9
India,2022,3385090000000,6.8,5.8,49.0,2.0
Germany,2018,3996750000000,1.5,3.4,89.7,8.9
Germany,2019,3888320000000,0.6,3.2,90.4,8.5
Germany,2020,3806060000000,-4.6,4.0,91.5,7.7
Germany,2021,4259930000000,2.9,3.6,92.5,8.1
Germany,2022,4072190000000,1.8,3.1,93.4,7.9
